word,proportion in topic 0,proportion in topic 1,proportion in topic 2,proportion in topic 3,proportion in topic 4,p(topic0|word),p(topic1|word),p(topic2|word),p(topic3|word),p(topic4|word)
virtuel,0,0,0,0,2.3495091e-05,0,0,0,0,1.0
queue,2.0663752e-05,0,0,0,0,1.0,0,0,0,0
assumption,0.0003705083,0,0,0.00066064106,0.00055606756,0.23343267623408223,0,0,0.4162260706884754,0.3503412530774424
gadid,0,0,0,2.5581412e-05,0,0,0,0,1.0,0
flu,0,0,0,0,2.3514032e-05,0,0,0,0,1.0
wasteful,0.00019069349,0,1.0452804e-05,0,0,0.9480338211835475,0,0.05196617881645246,0,0
pollutant,8.787436e-05,0.00010316685,0,0,0,0.45997593586716645,0.5400240641328335,0,0,0
sustainability,0.001067383,0.000702707,0.00055112125,0.0002751313,0.0004599703,0.34923878989668705,0.22991985038810214,0.1803222667948577,0.09002065703400537,0.15049843588634776
regime,0.00016301345,0.00083413394,0.00017566486,2.7633285e-05,0,0.13579412455099324,0.6948536345703528,0.14633305001521543,0.023019190863438534,0
revolt,0,0,0,0,0.00021655047,0,0,0,0,1.0
ol,0,0,0,0,2.3515466e-05,0,0,0,0,1.0
misname,0,0,1.054874e-05,0,0,0,0,1.0,0,0
chem,0,0,8.0361984e-05,0,0,0,0,1.0,0,0
whye,0,0,0,6.66249e-05,0,0,0,0,1.0,0
delimitation,0,0,2.766622e-05,0,0,0,0,1.0,0,0
reserve,0,0.00011016041,0.0001153187,0.00015055118,6.0424085e-05,0,0.2523984538948873,0.2642170781963494,0.3449413912428753,0.13844307666588798
storytelle,0,0,0.00011190381,0,6.938605e-05,0,0,0.6172645934553095,0,0.3827354065446905
descriptive,0.00014823419,0,0.00011423559,0,3.50966e-05,0.4981550331597176,0,0.38389951862733335,0,0.11794544821294908
copying,0,0,0,2.541329e-05,0,0,0,0,1.0,0
probe,0,0,0,2.5574407e-05,2.3515579e-05,0,0,0,0.5209699451653645,0.4790300548346355
upside,0,0,0,6.6491855e-05,0,0,0,0,1.0,0
lettere,1.7067208e-05,0,0,0,0,1.0,0,0,0,0
campagne,2.0664384e-05,0,0,0,0,1.0,0,0,0,0
practicability,2.0663752e-05,0,0,0,0,1.0,0,0,0,0
prentice,0,0,1.0003914e-05,0,0,0,0,1.0,0,0
molina,0,0,0,0.00010862321,0,0,0,0,1.0,0
multicultural,0,0,0,0,2.3511588e-05,0,0,0,0,1.0
flood,0.00015201178,0,0,0,7.102542e-08,0.9995329819298147,0,0,0,0.0004670180701853213
fraudulently,0,0,4.5138782e-05,0,0,0,0,1.0,0,0
guidancepdf,0,0,0,2.557114e-05,0,0,0,0,1.0,0
engagement,4.496627e-05,0,1.9340832e-06,0,0.0007954786,0.053380097040782316,0,0.002295977673678842,0,0.9443239252855389
cen,0,0,0.00011562693,0,0,0,0,1.0,0,0
diversity,0.0005095451,0,4.5037214e-05,5.821711e-05,0.00013496014,0.6814290644789999,0,0.06022953978684125,0.07785538646055723,0.18048600927360162
civilized,0,0,0,0,2.3515533e-05,0,0,0,0,1.0
volunteer,2.43236e-05,0,0,0,1.943136e-05,0.5559049882633402,0,0,0,0.44409501173665983
instantaneously,0,0,2.766622e-05,0,0,0,0,1.0,0,0
illegal_fishing,0,0.0002666061,0.00041568672,0,0,0,0.3907502677832224,0.6092497322167776,0,0
simplified,5.864272e-05,0,4.314762e-05,0,0.00017662067,0.21063362421857273,0,0.15497813346267858,0,0.6343882423187487
cosine,0,0,0,6.6630615e-05,0,0,0,0,1.0,0
blackburn,2.0284539e-05,0,0,0,0,1.0,0,0,0,0
disruption,0,0,4.503069e-05,0,0,0,0,1.0,0,0
dettmer,0,0,0,6.662484e-05,0,0,0,0,1.0,0
reception,0,0,2.7665956e-05,0,0,0,0,1.0,0,0
geography,2.0498157e-05,0,4.5199085e-05,1.5824891e-05,0.00010986988,0.10710037936065671,0,0.2361597284198193,0.08268313390285284,0.5740567583166711
brandt,0,0.00043615242,1.0547865e-05,0,0,0,0.9763871544523974,0.023612845547602564,0,0
garbage,0,0,9.790461e-05,0,0,0,0,1.0,0,0
strategic,2.359274e-05,0.0002688399,7.9867656e-05,6.578028e-05,5.938827e-05,0.047425561891568456,0.5404155605604603,0.16054805153818327,0.13222994828598347,0.11938087772380458
grand,0,0,0,0,6.127439e-05,0,0,0,0,1.0
differently,2.0492313e-05,0.00026867125,0,6.532516e-05,0.00017877319,0.03842823180375861,0.5038260653155587,0,0.12250108335325394,0.33524461952742873
shooter,0,0,0,0,2.3515422e-05,0,0,0,0,1.0
practitioner,8.78798e-05,0,0,0.0003277535,0.00052114704,0.09381046596681795,0,0,0.3498723170042757,0.5563172170289064
tweet,0,0,0,0,2.3514032e-05,0,0,0,0,1.0
barbour,0,0,0,6.663069e-05,0,0,0,0,1.0,0
multimodal,0,0,0,0,2.351161e-05,0,0,0,0,1.0
crisis,0,0,0.00022147618,0.000150835,0.00052829913,0,0,0.24591787982540292,0.1674808681910003,0.5866012519835968
bacteria,2.066468e-05,0,0,0,0,1.0,0,0,0,0
deliverer,0,0,0,2.558158e-05,0,0,0,0,1.0,0
existent,0,0,0.00039802995,0,6.1266444e-05,0,0,0.8666080445570278,0,0.13339195544297228
overestimate,0,0,1.05487e-05,0,0,0,0,1.0,0,0
